,Product_1,Product_2,Product_3,Product_4,Product_5
12628815,72882726,25730627,55665054,74317085,12539362
12630187,71159365,53654257,31276832,63494589,74556919
126697,31602057,74623725,125781,855600,126000
12676479,41265405,4688757,48592245,22153584,23410417
12705678,47126547,47126554,12743837,12743831,12743825
12716267,37503894,33142561,74246209,57524517,7383363
12724684,3818757,7318823,7319551,7319751,12736378
12735027,7857797,53384260,575591,8398179,311976
12736378,3818757,7318823,7319751,7319551,12724684
12736752,13302966,359620,32933095,32933095,6986847
12743825,47126554,47126547,12705678,12743837,12743831
12743831,47126547,47126554,12705678,12743837,12743825
12743837,47126562,47126554,47126547,12743831,12743825
1274913,50560418,2688679,2688703,1680881,1682395
12990640,72836349,74983716,57508317,58403905,58271504
13114633,50604092,4747467,17954259,17954263,38302891
13115242,576880,556922,30857999,998687,576784
1311789,20200132,462802,828429,4193095,3277475
13119283,13745119,10860173,7614405,56515226,22028042
13145075,57333148,21134184,4281649,13580400,19242072
13149705,24348434,44018311,45327625,20240139,23188003
13150843,4981859,4981857,4981861,11528560,11528190
1324787,255023,74246209,11477102,3220163,1059170
13286961,56540134,44954579,21416460,6473627,13764018
13302966,10680458,43761442,12110556,32933095,32933095
13307708,19884568,10603363,15096383,6715805,21221639
13325515,9727985,13328288,8819725,8823213,8822674
13328288,13443480,8823213,8822674,8820501,8819725
13329855,52695502,52696677,52696541,15239910,15239985
13333554,10001369,41167737,77876730,58873710,55791807
13334578,11676550,11239836,6655899,15129417,28241326
13335028,21035641,54585483,817884,14815404,817776
13335112,57440329,74860089,11239836,11216859,15595231
13367716,20884713,38762682,21310789,45168294,10282851
13379768,28075354,79239442,3792857,4345687,1911005
13392137,561953,22030673,77918557,6910261,13446740
13395603,42320500,12108488,618526,618461,13397495
13397495,42320500,12108488,618461,618526,13395603
13406602,1658927,4727059,4738525,13410814,13407305
13406653,14241258,10806848,36652304,43048676,55517153
13407305,4727059,4738525,1658927,13410814,13406602
13407803,15792427,26465463,16458389,20996983,71151380
13410814,14258477,4727345,4727059,13407305,13406602
13443480,13328288,8823213,8822674,9363638,8819213
13446740,77918557,561953,22030673,6910261,13392137
13458181,54585483,68821409,21035641,13335028,14815404
13525399,6711831,16572969,7490967,73666130,10021395
1353567,36995341,534213,2080951,44065922,1508575
13541150,19943198,49993513,49993511,50883140,13568365
13561036,53654257,82075493,23258088,21464946,56312920
13568365,11897820,49993513,49993511,50883140,13541150
13572054,55049362,52244173,4492151,52089160,52402442
13576835,44003914,25402524,32021463,40691443,4539349
13580400,13145075,4028301,21134184,19242072,4281649
13583766,12238762,7092227,12236983,10735333,14071430
13604545,16161475,10001382,24785855,10001384,13605830
13605830,16161475,10001382,24785855,10001384,13604545
13607810,12391035,71663942,22082835,17618382,68592171
13632171,17474656,12218724,709192,17473989,7650377
1366463,8141074,4333879,964223,43801338,25892097
136668,74561265,10706084,26315122,74850075,10706160
13670608,5403891,56714697,10086966,28754687,3428585
13677438,50438593,31520349,13743101,35909293,32223343
13678777,52850318,22194381,15475469,14606621,32308294
13687106,785227,9977722,68357693,33740550,24787086
13697766,58262987,55320027,21921714,81135664,23126129
13742860,50438593,13677438,71210329,35909293,13743101
13743101,13742860,13677438,50438593,71210329,35909293
13745119,22028042,13119283,7614405,56515226,2927891
1376291,49993511,50883140,56720370,52410460,73123059
13764018,21047980,44954579,6473627,21416460,13286961
13764494,68554054,68976582,32204730,53599451,54393507
13781306,31602057,8163884,1600005,59418162,642154
13781962,66650870,359726,16262699,24865067,14265753
13804344,1609191,8141046,4333879,25892097,58533785
13856052,6376015,6039405,6009539,5865627,5862639
13858841,23068516,57742831,57876590,11370697,31685803
13861288,3818775,3818757,7318823,7319751,7319551
13861313,23285218,53245077,22481216,52347882,10766617
13862477,2086067,44349631,67911084,66792707,16314108
13892182,21035641,817776,14815404,13335028,817884
13918145,19800169,8159799,8023300,38144690,1714729
13943889,12743837,51235942,47101594,52780164,16147225
13957952,43881779,11242886,51854334,6986847,11213554
13984365,6715805,16717623,5849599,7921722,5849307
14033602,11199995,33108693,72128653,38072358,14033612
14033612,11199995,33108693,72128653,38072358,14033602
14033757,2001029,51511070,26289675,53639147,3524487
14033974,53448839,71105466,22281227,45832107,11387239
14034624,74978842,74317926,45125717,74348608,29466943
14035750,70000381,20314572,53115576,14036047,53643072
14036047,60228865,53115576,56540134,14035750,53643072
14039112,15669028,32833167,6478415,53444660,48430140
14047157,51615378,51987865,419479,75514309,23382542
14069330,55873620,2045621,40547505,2045569,4529161
1406949,45410530,15659038,557163,10566733,15668735
